🛰️电视直播,#genre#
CCTV1,http://119.125.104.13:9901/tsfile/live/1015_1.m3u8
CCTV1,http://119.125.128.45:9901/tsfile/live/1018_1.m3u8
CCTV1,http://171.38.151.125:8082/tsfile/live/0001_1.m3u8
CCTV1,http://171.38.151.94:8082/tsfile/live/0001_1.m3u8
CCTV1,http://119.125.128.176:9901/tsfile/live/1020_1.m3u8
CCTV1,http://115.48.62.31:9901/tsfile/live/0001_1.m3u8
CCTV1,http://58.48.5.186:1111/tsfile/live/0001_1.m3u8
CCTV2,http://59.32.97.216:9901/tsfile/live/23019_1.m3u8
CCTV2,http://119.125.128.45:9901/tsfile/live/1019_1.m3u8
CCTV2,http://119.125.104.247:9901/tsfile/live/1016_1.m3u8
CCTV2,http://106.115.121.16:9901/tsfile/live/1018_1.m3u8
CCTV2,http://171.38.151.94:8082/tsfile/live/0002_1.m3u8
CCTV2,http://171.38.151.125:8082/tsfile/live/0002_1.m3u8
CCTV2,http://182.122.106.8:9901/tsfile/live/0002_1.m3u8
CCTV3,http://119.125.128.45:9901/tsfile/live/1020_1.m3u8
CCTV3,http://113.64.94.150:9901/tsfile/live/1017_1.m3u8
CCTV3,http://59.32.97.216:9901/tsfile/live/23020_1.m3u8
CCTV3,http://119.125.128.176:9901/tsfile/live/1022_1.m3u8
CCTV3,http://106.115.121.16:9901/tsfile/live/1019_1.m3u8
CCTV3,http://171.38.151.125:8082/tsfile/live/0003_1.m3u8
CCTV3,http://115.48.62.31:9901/tsfile/live/0003_1.m3u8
CCTV3,http://123.7.110.43:9901/tsfile/live/0003_1.m3u8
CCTV3,http://113.64.94.231:9901/tsfile/live/1022_1.m3u8
CCTV4,http://59.32.97.216:9901/tsfile/live/23021_1.m3u8
CCTV4,http://119.125.104.247:9901/tsfile/live/1018_1.m3u8
CCTV4,http://119.125.128.45:9901/tsfile/live/1021_1.m3u8
CCTV4,http://106.115.121.16:9901/tsfile/live/1020_1.m3u8
CCTV4,http://171.38.151.94:8082/tsfile/live/0004_1.m3u8
CCTV4,http://171.38.151.125:8082/tsfile/live/0004_1.m3u8
CCTV4,http://119.125.128.176:9901/tsfile/live/1023_1.m3u8
CCTV4,http://124.228.160.2:9901/tsfile/live/0004_1.m3u8
CCTV5,http://59.32.97.216:9901/tsfile/live/23022_1.m3u8
CCTV5,http://119.125.104.216:9901/tsfile/live/1019_1.m3u8
CCTV5,http://171.38.151.94:8082/tsfile/live/0005_1.m3u8
CCTV5,http://171.38.151.125:8082/tsfile/live/0005_1.m3u8
CCTV5,http://58.48.5.186:1111/tsfile/live/0005_1.m3u8
CCTV5,http://115.48.62.31:9901/tsfile/live/0005_1.m3u8
CCTV5,http://119.125.128.176:9901/tsfile/live/1024_1.m3u8
CCTV5,http://182.122.106.8:9901/tsfile/live/0005_1.m3u8
CCTV5+,http://119.125.104.219:9901/tsfile/live/1020_1.m3u8
CCTV5+,http://59.32.97.216:9901/tsfile/live/23023_1.m3u8
CCTV5+,http://171.38.151.125:8082/tsfile/live/0016_1.m3u8
CCTV5+,http://119.125.128.45:9901/tsfile/live/1023_1.m3u8
CCTV5+,http://119.125.104.247:9901/tsfile/live/1020_1.m3u8
CCTV5+,http://119.125.128.176:9901/tsfile/live/1025_1.m3u8
CCTV5+,http://119.125.104.13:9901/tsfile/live/1020_1.m3u8
CCTV5+,http://119.125.104.219:9901/tsfile/live/1075_1.m3u8
CCTV5+,http://58.48.5.186:1111/tsfile/live/0016_1.m3u8
CCTV5+,http://113.64.94.150:9901/tsfile/live/1075_1.m3u8
CCTV6,http://119.125.128.45:9901/tsfile/live/1024_1.m3u8
CCTV6,http://119.125.104.219:9901/tsfile/live/1021_1.m3u8
CCTV6,http://59.32.97.216:9901/tsfile/live/23024_1.m3u8
CCTV6,http://106.115.121.16:9901/tsfile/live/1022_1.m3u8
CCTV6,http://119.125.104.13:9901/tsfile/live/1021_1.m3u8
CCTV6,http://171.38.151.125:8082/tsfile/live/0006_1.m3u8
CCTV6,http://58.48.5.186:1111/tsfile/live/0006_1.m3u8
CCTV6,http://182.122.106.8:9901/tsfile/live/0006_1.m3u8
CCTV7,http://119.125.128.45:9901/tsfile/live/1025_1.m3u8
CCTV7,http://119.125.134.248:9901/tsfile/live/1045_1.m3u8
CCTV7,http://119.125.104.13:9901/tsfile/live/1022_1.m3u8
CCTV7,http://106.115.121.16:9901/tsfile/live/1023_1.m3u8
CCTV7,http://171.38.151.94:8082/tsfile/live/0007_1.m3u8
CCTV7,http://171.38.151.125:8082/tsfile/live/0007_1.m3u8
CCTV8,http://119.125.104.247:9901/tsfile/live/1023_1.m3u8
CCTV8,http://59.32.97.216:9901/tsfile/live/23026_1.m3u8
CCTV8,http://171.38.151.125:8082/tsfile/live/0008_1.m3u8
